student_id,topic,field_of_interest,quiz_score,concept_score,practical_score,confidence,prior_experience,hours_per_week,preferred_content,learning_style,difficulty_preference,completion_rate,avg_session_minutes,quiz_attempts,needs_revision,topic_prerequisite_score,interest_score,knowledge_gap,recommended_action,resource_type,recommendation_priority
4611,Deployment,DevOps/Cloud,0.0,0.0,47.97,0.0,None,16.67,Interactive Course,Hands-on,Advanced,28.89,30.86,6,1,0.0,24.41,90.41,Learn Fundamentals,Article,High
2457,EDA,Data Science,2.27,51.23,46.39,34.99,None,9.3,Practice Questions,Mixed,Adaptive,0.0,31.25,7,1,41.33,30.01,74.22,Learn Fundamentals,Video,High
3404,HTML/CSS,Web Development,13.75,7.92,14.18,18.46,Advanced,3.09,Project,Hands-on,Beginner,18.7,23.7,5,1,16.14,0.0,87.92,Learn Fundamentals,Article,High
2906,React,Web Development,33.13,35.9,21.14,32.65,Advanced,5.07,Interactive Course,Reading,Beginner,34.95,28.46,6,1,24.85,40.62,68.44,Learn Fundamentals,Article,High
1340,REST APIs,Backend Development,28.61,2.81,0.0,20.13,Intermediate,4.36,Documentation,Reading,Beginner,37.04,31.7,4,1,0.0,34.71,84.85,Learn Fundamentals,Article,High
1967,ML Fundamentals,Machine Learning,19.73,27.32,5.94,5.41,Beginner,5.73,Interactive Course,Hands-on,Adaptive,16.04,29.1,5,1,26.01,4.71,80.75,Learn Fundamentals,Article,High
3333,Deployment,DevOps/Cloud,50.02,40.45,10.17,34.98,Beginner,3.45,Practice Questions,Mixed,Adaptive,28.46,53.58,4,1,38.07,10.8,60.82,Learn Fundamentals,Video,High
3342,Data Preprocessing,Machine Learning,56.61,19.42,5.76,28.26,Advanced,5.79,Interactive Course,Hands-on,Beginner,23.95,38.3,2,1,46.48,27.44,64.72,Revision,Practice Questions,Medium
681,Git/GitHub,Software Development,21.12,9.2,18.2,23.94,Beginner,11.01,Video,Reading,Intermediate,29.04,21.64,7,1,0.0,19.89,83.04,Learn Fundamentals,Article,High
1607,Data Preprocessing,Machine Learning,0.0,2.02,14.65,54.31,Advanced,4.97,Video,Mixed,Intermediate,52.34,30.69,7,1,3.52,43.05,96.46,Learn Fundamentals,Video,High
3823,Logistic Regression,Machine Learning,13.58,30.63,50.98,35.54,None,4.83,Project,Mixed,Beginner,38.94,29.54,5,1,32.63,38.59,73.83,Learn Fundamentals,Video,High
3967,REST APIs,Backend Development,44.59,59.82,42.78,30.94,Beginner,3.25,Article,Mixed,Adaptive,21.6,24.12,3,1,30.43,25.07,51.2,Learn Fundamentals,Video,High
137,JavaScript,Web Development,47.34,75.75,48.0,34.58,Advanced,1.94,Practice Questions,Hands-on,Intermediate,57.49,12.76,4,1,71.46,22.45,44.0,Revision,Interactive Course,Medium
4376,Model Evaluation,Machine Learning,37.23,62.6,60.64,54.99,Some Experience,13.96,Documentation,Hands-on,Intermediate,31.18,48.08,5,1,50.67,40.71,50.48,Learn Fundamentals,Article,High
240,React,Web Development,0.0,55.12,18.91,74.85,Some Experience,3.69,Practice Questions,Hands-on,Advanced,29.11,46.56,4,1,17.8,36.02,79.68,Learn Fundamentals,Article,High
3326,React,Web Development,0.0,0.0,26.32,41.62,Intermediate,3.38,Video,Visual,Beginner,36.19,42.7,7,1,11.75,31.41,94.74,Learn Fundamentals,Video,High
4661,Classification,Machine Learning,10.8,42.88,15.35,50.11,Some Experience,2.71,Practice Questions,Mixed,Intermediate,25.52,36.14,7,1,34.51,35.01,78.67,Learn Fundamentals,Video,High
476,Logistic Regression,Machine Learning,65.68,55.42,31.55,42.77,None,6.58,Video,Visual,Beginner,18.26,57.52,2,0,40.04,35.02,44.22,Revision,Video,Medium
2944,Clustering,Machine Learning,16.06,21.92,0.0,35.64,Some Experience,5.16,Interactive Course,Visual,Advanced,53.18,21.84,6,1,13.61,51.37,85.4,Learn Fundamentals,Video,High
1436,Deployment,DevOps/Cloud,28.65,23.78,19.32,29.69,Intermediate,3.1,Interactive Course,Hands-on,Beginner,20.91,30.84,6,1,18.33,17.47,74.68,Learn Fundamentals,Article,High
2393,Git/GitHub,Software Development,51.09,56.13,54.32,35.47,Some Experience,8.3,Practice Questions,Hands-on,Adaptive,18.88,17.49,3,1,47.37,14.45,46.75,Revision,Practice Questions,Medium
3094,Linear Regression,Machine Learning,10.31,59.8,30.73,31.4,Intermediate,7.32,Documentation,Mixed,Beginner,41.09,27.17,5,1,32.72,16.89,70.76,Learn Fundamentals,Video,High
4535,Decision Trees,Machine Learning,60.06,37.18,16.03,29.78,None,3.17,Project,Visual,Advanced,49.72,32.97,3,1,40.04,36.25,55.61,Revision,Video,Medium
4955,Logistic Regression,Machine Learning,49.82,51.13,12.72,24.05,Intermediate,6.62,Project,Hands-on,Adaptive,0.0,34.41,4,1,41.68,24.41,57.2,Revision,Interactive Course,Medium
366,EDA,Data Science,0.0,53.26,9.82,15.57,Intermediate,10.62,Interactive Course,Visual,Beginner,11.39,25.61,8,1,33.74,23.96,82.06,Learn Fundamentals,Video,High
551,Overfitting & Underfitting,Machine Learning,44.88,46.91,24.74,31.39,Some Experience,9.65,Video,Hands-on,Beginner,47.27,32.86,3,1,56.52,24.26,58.54,Revision,Interactive Course,Medium
1747,EDA,Data Science,35.44,0.0,49.94,0.0,Some Experience,12.62,Practice Questions,Visual,Intermediate,21.3,31.08,5,1,8.55,24.53,72.29,Learn Fundamentals,Video,High
3097,React,Web Development,19.27,35.0,4.69,4.79,Intermediate,8.29,Video,Mixed,Intermediate,32.7,38.04,6,1,34.41,8.0,78.93,Learn Fundamentals,Video,High
1136,Classification,Machine Learning,2.71,0.0,0.0,49.9,Beginner,3.81,Documentation,Mixed,Intermediate,35.83,23.29,6,1,17.11,31.99,98.64,Learn Fundamentals,Video,High
1242,React,Web Development,9.3,27.33,24.81,6.9,Intermediate,3.42,Interactive Course,Reading,Advanced,5.21,25.16,6,1,0.0,7.06,82.19,Learn Fundamentals,Article,High
2482,FastAPI,Backend Development,21.56,41.56,69.84,20.82,Beginner,9.25,Video,Reading,Beginner,26.53,32.25,4,1,16.82,22.4,62.78,Learn Fundamentals,Article,High
4665,EDA,Data Science,35.46,47.66,52.91,48.89,None,4.24,Documentation,Reading,Beginner,27.56,38.74,5,1,58.16,24.88,57.39,Learn Fundamentals,Article,High
3944,EDA,Data Science,43.86,45.33,42.85,43.47,None,1.46,Video,Visual,Beginner,21.58,29.43,5,1,47.76,33.6,55.9,Revision,Practice Questions,Medium
712,Data Preprocessing,Machine Learning,11.17,47.93,28.09,45.79,Beginner,3.03,Video,Reading,Beginner,16.36,31.65,4,1,10.88,15.05,74.42,Learn Fundamentals,Article,High
981,HTML/CSS,Web Development,32.27,30.11,34.79,5.21,None,9.91,Interactive Course,Hands-on,Advanced,15.33,27.93,4,1,42.82,17.54,67.87,Learn Fundamentals,Article,High
2754,Classification,Machine Learning,25.48,41.63,7.65,40.72,Some Experience,13.45,Article,Hands-on,Advanced,32.69,43.75,4,1,21.51,25.51,73.24,Learn Fundamentals,Article,High
4200,ML Fundamentals,Machine Learning,17.87,17.77,40.96,33.55,None,2.75,Article,Hands-on,Intermediate,6.86,54.96,6,1,13.89,42.27,77.54,Learn Fundamentals,Article,High
2899,REST APIs,Backend Development,58.24,43.36,29.91,0.0,None,9.53,Project,Visual,Beginner,16.1,22.95,2,1,56.54,28.6,51.89,Revision,Interactive Course,Medium
2361,FastAPI,Backend Development,68.59,53.31,66.55,10.76,Beginner,3.16,Video,Mixed,Adaptive,10.13,42.46,3,0,61.14,28.01,36.4,Revision,Interactive Course,Medium
3562,Logistic Regression,Machine Learning,16.47,29.69,12.86,34.42,None,5.92,Interactive Course,Hands-on,Adaptive,18.82,30.86,6,1,21.0,35.05,80.29,Learn Fundamentals,Article,High
4725,Logistic Regression,Machine Learning,20.81,22.94,34.28,42.23,Beginner,1.95,Practice Questions,Visual,Adaptive,23.76,28.1,6,1,11.43,14.48,75.86,Learn Fundamentals,Video,High
